trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
24,short,2025-10-04T10:00:00Z,2025-10-04T22:00:00Z,3.5056,3.5968,22.15,77.64904,-2.1,-2.70,0.29,0.38,-2.06,-2.65,-0.95,-0.95,24,Short,Short Exit
25,long,2025-10-05T00:30:00Z,2025-10-05T19:30:00Z,3.6734,3.5317,13.97,51.317398,-2.03,-3.95,0.21,0.40,-2.01,-3.91,-2.98,-2.98,38,Long,Long Exit
26,long,2025-10-06T16:00:00Z,2025-10-07T13:30:00Z,3.6719,3.5508,16.03,58.860557,-2,-3.39,0.57,0.97,-1.97,-3.35,-4.98,-4.98,43,Long,Long Exit
27,short,2025-10-07T15:00:00Z,2025-10-09T17:00:00Z,3.5217,3.3757,11.33,39.900861,1.62,4.05,2.22,5.57,-0.51,-1.27,-3.37,-3.37,100,Short,Short Exit
28,short,2025-10-10T18:30:00Z,2025-10-10T21:30:00Z,3.2753,1.9201,13.26,43.430478,17.94,41.28,36,82.85,-0.06,-0.13,14.57,14.57,6,Short,Short Exit
29,long,2025-10-13T19:30:00Z,2025-10-14T06:30:00Z,2.934,2.7248,10.95,32.1273,-2.32,-7.22,0.85,2.65,-2.31,-7.18,12.25,12.25,22,Long,Long Exit
30,short,2025-10-15T17:00:00Z,2025-10-17T09:30:00Z,2.7056,2.3765,15.39,41.639184,5.03,12.06,6.12,14.69,-0.56,-1.34,17.27,17.27,81,Short,Short Exit
31,long,2025-10-19T14:30:00Z,2025-10-21T04:00:00Z,2.641,2.4959,16.13,42.59933,-2.38,-5.59,0.58,1.35,-2.36,-5.54,14.89,14.89,75,Long,Long Exit
32,short,2025-10-21T06:00:00Z,2025-10-21T14:30:00Z,2.479,2.5815,22.43,55.60397,-2.36,-4.23,0.21,0.38,-2.33,-4.18,12.54,12.54,17,Short,Short Exit
33,short,2025-10-22T00:30:00Z,2025-10-23T01:00:00Z,2.4818,2.3951,16.01,39.733618,1.35,3.39,2.28,5.75,-0.29,-0.72,13.88,13.88,49,Short,Short Exit
34,long,2025-10-24T10:00:00Z,2025-10-25T21:30:00Z,2.4782,2.5329,27.35,67.77877,1.43,2.11,2.3,3.39,-1.05,-1.55,15.31,15.31,71,Long,Long Exit
35,long,2025-10-26T10:00:00Z,2025-10-26T14:00:00Z,2.5717,2.6253,31.94,82.140098,1.63,1.98,2.74,3.33,-0.75,-0.92,16.94,16.94,8,Long,Long Exit
36,long,2025-10-27T00:30:00Z,2025-10-27T11:00:00Z,2.6835,2.6089,31.45,84.396075,-2.43,-2.88,1.02,1.21,-2.39,-2.83,14.51,14.51,21,Long,Long Exit
37,short,2025-10-28T21:00:00Z,2025-10-30T21:30:00Z,2.4953,2.2673,13.34,33.287302,3.01,9.04,3.84,11.54,-1.29,-3.88,17.52,17.52,97,Short,Short Exit
38,short,2025-11-03T04:00:00Z,2025-11-03T16:00:00Z,2.2071,2.0436,15.32,33.812772,2.47,7.31,3.37,9.96,-0.34,-1.01,19.99,19.99,24,Short,Short Exit
39,long,2025-11-09T20:00:00Z,2025-11-11T19:00:00Z,2.1637,2.0509,21.29,46.065173,-2.45,-5.31,1.38,3.00,-2.42,-5.26,17.55,17.55,94,Long,Long Exit
40,short,2025-11-11T20:00:00Z,2025-11-13T22:30:00Z,2.0402,1.8697,24.76,50.515352,4.17,8.26,5.45,10.79,-1.46,-2.88,21.72,21.72,101,Short,Short Exit
41,short,2025-11-14T04:00:00Z,2025-11-14T13:00:00Z,1.842,1.792,28.61,52.69962,1.38,2.61,2.87,5.44,-0.36,-0.67,23.1,23.10,18,Short,Short Exit
42,short,2025-11-16T16:00:00Z,2025-11-18T01:00:00Z,1.6695,1.627,30,50.085,1.23,2.45,2.73,5.44,-1.97,-3.94,24.32,24.32,66,Short,Short Exit
43,short,2025-11-21T00:00:00Z,2025-11-21T10:00:00Z,1.496,1.3672,22.66,33.89936,2.89,8.51,4.01,11.84,-0.53,-1.56,27.21,27.21,20,Short,Short Exit
44,short,2025-11-21T11:30:00Z,2025-11-24T17:00:00Z,1.3448,1.4461,25.12,33.781376,-2.58,-7.63,0.84,2.50,-2.56,-7.58,24.63,24.63,155,Short,Short Exit
45,long,2025-11-25T05:00:00Z,2025-11-25T14:30:00Z,1.5605,1.4758,29.42,45.90991,-2.54,-5.52,0.31,0.68,-2.51,-5.48,22.09,22.09,19,Long,Long Exit
46,long,2025-11-28T15:30:00Z,2025-11-28T18:00:00Z,1.5938,1.5085,28.65,45.66237,-2.49,-5.45,0.15,0.33,-2.47,-5.40,19.61,19.61,5,Long,Long Exit
47,short,2025-11-29T02:30:00Z,2025-11-30T13:00:00Z,1.5176,1.5631,52.8,80.12928,-2.48,-3.10,1.72,2.15,-2.44,-3.05,17.12,17.12,69,Short,Short Exit
