Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
7,Exit long,2025-08-21 17:00,Long Exit,3.4704,24.42,84.222138,0.44,0.52,0.08,3.34,3.96,-1.8,-2.13,5.07,5.07,63
7,Entry long,2025-08-20 09:30,Long,3.4489,24.42,84.222138,0.44,0.52,0.08,3.34,3.96,-1.8,-2.13,5.07,5.07,63
8,Exit long,2025-08-22 19:00,Long Exit,3.3562,23.64,81.435072,-2.17,-2.67,0.08,0.75,0.92,-2.14,-2.62,2.89,2.89,43
8,Entry long,2025-08-21 21:30,Long,3.4448,23.64,81.435072,-2.17,-2.67,0.08,0.75,0.92,-2.14,-2.62,2.89,2.89,43
9,Exit long,2025-08-25 14:00,Long Exit,3.57,19.08,64.1565,3.89,6.06,0.07,9.27,14.44,-0.04,-0.07,6.78,6.78,128
9,Entry long,2025-08-22 22:00,Long,3.3625,19.08,64.1565,3.89,6.06,0.07,9.27,14.44,-0.04,-0.07,6.78,6.78,128
10,Exit long,2025-08-29 01:00,Long Exit,3.4194,22.15,74.541395,1.12,1.51,0.08,3.58,4.80,-0.51,-0.68,7.91,7.91,127
10,Entry long,2025-08-26 09:30,Long,3.3653,22.15,74.541395,1.12,1.51,0.08,3.58,4.80,-0.51,-0.68,7.91,7.91,127
11,Exit long,2025-08-30 02:00,Long Exit,3.2448,18.12,60.961116,-2.23,-3.65,0.06,0.02,0.04,-2.2,-3.60,5.68,5.68,10
11,Entry long,2025-08-29 21:00,Long,3.3643,18.12,60.961116,-2.23,-3.65,0.06,0.02,0.04,-2.2,-3.60,5.68,5.68,10
12,Exit long,2025-09-01 10:30,Long Exit,3.1698,21.53,70.357887,-2.18,-3.10,0.07,1.74,2.47,-2.15,-3.05,3.5,3.50,104
