trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
13,short,2025-08-21T09:30:00Z,2025-08-22T16:00:00Z,3.4591,3.6165,28.19,97.512029,-4.54,-4.65,4.38,4.49,-5.81,-5.96,-6.99,-6.99,61,Short,Close Short
14,long,2025-08-22T16:30:00Z,2025-08-25T07:00:00Z,3.6776,3.5247,25.29,93.006504,-3.96,-4.25,4.31,4.63,-3.95,-4.25,-10.95,-10.95,125,Long,Close Long
15,short,2025-08-25T07:30:00Z,2025-08-27T05:30:00Z,3.5254,3.4682,25.25,89.01635,1.36,1.52,5.39,6.06,-0.14,-0.16,-9.6,-9.60,92,Short,Close Short
16,long,2025-08-27T06:00:00Z,2025-08-28T19:30:00Z,3.4589,3.4499,26.13,90.381057,-0.33,-0.36,1.77,1.96,-1.28,-1.42,-9.92,-9.92,75,Long,Close Long
17,short,2025-08-28T20:00:00Z,2025-09-01T10:00:00Z,3.4162,3.3058,26.36,90.051032,2.82,3.13,7.14,7.92,-2.23,-2.48,-7.1,-7.10,172,Short,Close Short
18,short,2025-09-01T14:00:00Z,2025-09-02T22:00:00Z,3.2363,3.3079,28.7,92.88181,-2.15,-2.31,3.7,3.98,-2.31,-2.48,-9.25,-9.25,64,Short,Close Short
19,long,2025-09-02T22:30:00Z,2025-09-04T16:00:00Z,3.3075,3.2632,27.43,90.724725,-1.31,-1.44,2.65,2.91,-1.61,-1.78,-10.55,-10.55,83,Long,Close Long
20,short,2025-09-04T16:30:00Z,2025-09-05T04:30:00Z,3.2517,3.3404,27.5,89.42175,-2.53,-2.83,0.52,0.58,-2.48,-2.78,-13.08,-13.08,24,Short,Close Short
21,long,2025-09-05T05:00:00Z,2025-09-09T17:30:00Z,3.3459,3.4394,25.97,86.893023,2.34,2.69,6.96,8.00,-0.97,-1.11,-10.74,-10.74,217,Long,Close Long
22,short,2025-09-09T18:00:00Z,2025-09-10T03:30:00Z,3.4304,3.5249,26.01,89.224704,-2.55,-2.85,0.06,0.07,-3.44,-3.86,-13.29,-13.29,19,Short,Close Short
23,long,2025-09-10T04:00:00Z,2025-09-14T14:30:00Z,3.5408,3.6847,24.48,86.678784,3.43,3.96,8.3,9.57,-1.07,-1.24,-9.86,-9.86,213,Long,Close Long
24,short,2025-09-14T15:00:00Z,2025-09-16T14:30:00Z,3.6593,3.5894,24.63,90.128559,1.63,1.81,4.94,5.48,-1.91,-2.11,-8.23,-8.23,95,Short,Close Short
25,long,2025-09-16T15:00:00Z,2025-09-19T07:00:00Z,3.5936,3.7938,25.53,91.744608,5.02,5.47,9.66,10.52,-1.91,-2.09,-3.21,-3.21,128,Long,Close Long
26,short,2025-09-19T07:30:00Z,2025-09-24T14:30:00Z,3.8125,3.3973,25.38,96.76125,10.45,10.79,15.08,15.58,-0.39,-0.41,7.24,7.24,254,Short,Close Short
27,long,2025-09-24T15:00:00Z,2025-09-25T02:00:00Z,3.4184,3.3178,31.37,107.235208,-3.26,-3.04,0.13,0.12,-3.5,-3.27,3.98,3.98,22,Long,Close Long
28,short,2025-09-25T02:30:00Z,2025-09-28T20:30:00Z,3.3174,3.2346,31.34,103.967316,2.49,2.40,7.89,7.59,-1.41,-1.35,6.47,6.47,180,Short,Close Short
29,long,2025-09-28T21:00:00Z,2025-09-30T15:30:00Z,3.2327,3.1697,32.93,106.452811,-2.18,-2.05,3.06,2.87,-2.48,-2.33,4.29,4.29,85,Long,Close Long
30,short,2025-09-30T16:00:00Z,2025-09-30T21:30:00Z,3.163,3.2872,32.97,104.28411,-4.2,-4.03,0.35,0.34,-4.93,-4.73,0.09,0.09,11,Short,Close Short
31,long,2025-09-30T22:00:00Z,2025-10-04T09:00:00Z,3.2667,3.5206,30.63,100.059021,7.67,7.66,12.18,12.17,-1.68,-1.68,7.76,7.76,166,Long,Close Long
32,short,2025-10-04T09:30:00Z,2025-10-04T23:00:00Z,3.5264,3.6128,30.55,107.73152,-2.75,-2.55,1.04,0.96,-2.72,-2.53,5.01,5.01,27,Short,Close Short
33,long,2025-10-04T23:30:00Z,2025-10-05T20:30:00Z,3.6044,3.5435,29.13,104.996172,-1.88,-1.79,2.44,2.32,-2.51,-2.39,3.13,3.13,42,Long,Close Long
34,short,2025-10-05T21:00:00Z,2025-10-06T08:00:00Z,3.5395,3.6199,29.13,103.105635,-2.45,-2.37,0.18,0.17,-3.68,-3.56,0.69,0.69,22,Short,Close Short
