Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
32,Exit short,2025-10-05 07:00,Close Short,3.6128,30.55,107.73152,-2.75,-2.55,0.11,1.04,0.96,-2.72,-2.53,5.01,5.01,27
32,Entry short,2025-10-04 17:30,Short,3.5264,30.55,107.73152,-2.75,-2.55,0.11,1.04,0.96,-2.72,-2.53,5.01,5.01,27
33,Exit long,2025-10-06 04:30,Close Long,3.5435,29.13,104.996172,-1.88,-1.79,0.1,2.44,2.32,-2.51,-2.39,3.13,3.13,42
33,Entry long,2025-10-05 07:30,Long,3.6044,29.13,104.996172,-1.88,-1.79,0.1,2.44,2.32,-2.51,-2.39,3.13,3.13,42
34,Exit short,2025-10-06 16:00,Close Short,3.6199,29.13,103.105635,-2.45,-2.37,0.1,0.18,0.17,-3.68,-3.56,0.69,0.69,22
34,Entry short,2025-10-06 05:00,Short,3.5395,29.13,103.105635,-2.45,-2.37,0.1,0.18,0.17,-3.68,-3.56,0.69,0.69,22
35,Exit long,2025-10-08 00:30,Close Long,3.4717,27.64,100.667644,-4.81,-4.77,0.1,1.81,1.80,-5,-4.97,-4.12,-4.12,64
35,Entry long,2025-10-06 16:30,Long,3.6421,27.64,100.667644,-4.81,-4.77,0.1,1.81,1.80,-5,-4.97,-4.12,-4.12,64
36,Exit short,2025-10-13 00:30,Close Short,2.7356,27.45,95.8554,20.68,21.56,0.09,80.47,83.91,-2.04,-2.13,16.56,16.56,239
36,Entry short,2025-10-08 01:00,Short,3.492,27.45,95.8554,20.68,21.56,0.09,80.47,83.91,-2.04,-2.13,16.56,16.56,239
37,Exit long,2025-10-14 16:30,Close Long,2.7209,42.23,116.550577,-1.76,-1.51,0.12,10.64,9.13,-3.87,-3.32,14.79,14.79,79
37,Entry long,2025-10-13 01:00,Long,2.7599,42.23,116.550577,-1.76,-1.51,0.12,10.64,9.13,-3.87,-3.32,14.79,14.79,79
38,Exit short,2025-10-15 01:30,Close Short,2.8444,42.14,114.772504,-5.21,-4.54,0.12,3.04,2.65,-6.31,-5.50,9.59,9.59,17
38,Entry short,2025-10-14 17:00,Short,2.7236,42.14,114.772504,-5.21,-4.54,0.12,3.04,2.65,-6.31,-5.50,9.59,9.59,17
39,Exit long,2025-10-15 23:00,Close Long,2.7436,38.75,109.57725,-3.37,-3.07,0.11,2.35,2.14,-4.41,-4.03,6.22,6.22,42
39,Entry long,2025-10-15 02:00,Long,2.8278,38.75,109.57725,-3.37,-3.07,0.11,2.35,2.14,-4.41,-4.03,6.22,6.22,42
40,Exit short,2025-10-18 20:30,Close Short,2.4908,38.91,106.204845,9.19,8.65,0.1,17.47,16.44,-0.48,-0.45,15.4,15.40,138
