Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
26,Entry long,2025-09-24 23:30,Long,3.4124,36.33,123.972492,-3.56,-2.87,0.12,0.07,0.05,-3.84,-3.10,20.43,20.43,21
27,Exit short,2025-09-27 04:00,Close Short,3.2041,36.3,120.42162,3.99,3.32,0.12,9.14,7.59,-1.63,-1.35,24.43,24.43,83
27,Entry short,2025-09-25 10:30,Short,3.3174,36.3,120.42162,3.99,3.32,0.12,9.14,7.59,-1.63,-1.35,24.43,24.43,83
28,Exit long,2025-09-28 10:30,Close Long,3.1499,38.82,124.39869,-2.24,-1.80,0.12,0.92,0.74,-2.72,-2.18,22.18,22.18,60
28,Entry long,2025-09-27 04:30,Long,3.2045,38.82,124.39869,-2.24,-1.80,0.12,0.92,0.74,-2.72,-2.18,22.18,22.18,60
29,Exit short,2025-09-29 04:30,Close Short,3.2346,38.81,122.169999,-3.49,-2.85,0.12,2.08,1.70,-3.48,-2.84,18.7,18.70,35
29,Entry short,2025-09-28 11:00,Short,3.1479,38.81,122.169999,-3.49,-2.85,0.12,2.08,1.70,-3.48,-2.84,18.7,18.70,35
30,Exit long,2025-09-30 17:00,Close Long,3.219,36.71,118.672417,-0.62,-0.52,0.12,3.41,2.87,-1.13,-0.95,18.07,18.07,72
30,Entry long,2025-09-29 05:00,Long,3.2327,36.71,118.672417,-0.62,-0.52,0.12,3.41,2.87,-1.13,-0.95,18.07,18.07,72
31,Exit short,2025-10-01 18:30,Close Short,3.3929,36.63,118.047501,-6.36,-5.38,0.12,2.57,2.18,-6.88,-5.82,11.72,11.72,50
31,Entry short,2025-09-30 17:30,Short,3.2227,36.63,118.047501,-6.36,-5.38,0.12,2.57,2.18,-6.88,-5.82,11.72,11.72,50
32,Exit long,2025-10-04 10:00,Close Long,3.5508,32.88,111.696648,4.94,4.42,0.11,8.79,7.86,-0.31,-0.28,16.66,16.66,126
32,Entry long,2025-10-01 19:00,Long,3.3971,32.88,111.696648,4.94,4.42,0.11,8.79,7.86,-0.31,-0.28,16.66,16.66,126
33,Exit short,2025-10-05 08:30,Close Short,3.6734,32.87,116.645769,-4.22,-3.61,0.12,1.85,1.59,-4.66,-4.00,12.44,12.44,44
33,Entry short,2025-10-04 10:30,Short,3.5487,32.87,116.645769,-4.22,-3.61,0.12,1.85,1.59,-4.66,-4.00,12.44,12.44,44
34,Exit long,2025-10-06 03:30,Close Long,3.5546,31.37,112.420669,-1.02,-0.91,0.11,3.28,2.91,-1.22,-1.09,11.42,11.42,37
34,Entry long,2025-10-05 09:00,Long,3.5837,31.37,112.420669,-1.02,-0.91,0.11,3.28,2.91,-1.22,-1.09,11.42,11.42,37
35,Exit short,2025-10-06 18:00,Close Short,3.6527,31.54,111.408742,-3.91,-3.51,0.11,0.14,0.13,-4.21,-3.77,7.51,7.51,28
35,Entry short,2025-10-06 04:00,Short,3.5323,31.54,111.408742,-3.91,-3.51,0.11,0.14,0.13,-4.21,-3.77,7.51,7.51,28
36,Exit long,2025-10-07 16:30,Close Long,3.5729,29.6,107.49536,-1.84,-1.71,0.11,2.25,2.09,-2.16,-2.01,5.66,5.66,44
36,Entry long,2025-10-06 18:30,Long,3.6316,29.6,107.49536,-1.84,-1.71,0.11,2.25,2.09,-2.16,-2.01,5.66,5.66,44
37,Exit short,2025-10-13 02:30,Close Short,2.7897,29.42,105.64722,23.48,22.21,0.09,89.16,84.35,-0.93,-0.88,29.14,29.14,259
37,Entry short,2025-10-07 17:00,Short,3.591,29.42,105.64722,23.48,22.21,0.09,89.16,84.35,-0.93,-0.88,29.14,29.14,259
38,Exit long,2025-10-14 14:30,Close Long,2.7673,46.38,129.140472,-0.92,-0.71,0.13,10.55,8.17,-2.26,-1.75,28.22,28.22,71
38,Entry long,2025-10-13 03:00,Long,2.7844,46.38,129.140472,-0.92,-0.71,0.13,10.55,8.17,-2.26,-1.75,28.22,28.22,71
39,Exit short,2025-10-18 20:30,Close Short,2.4908,47.03,128.208483,10.94,8.53,0.12,20.95,16.34,-7.77,-6.06,39.16,39.16,203
39,Entry short,2025-10-14 15:00,Short,2.7261,47.03,128.208483,10.94,8.53,0.12,20.95,16.34,-7.77,-6.06,39.16,39.16,203
40,Exit long,2025-10-21 02:30,Close Long,2.5634,55.86,139.14726,3.9,2.80,0.14,10.38,7.45,-2.9,-2.08,43.07,43.07,107
40,Entry long,2025-10-18 21:00,Long,2.491,55.86,139.14726,3.9,2.80,0.14,10.38,7.45,-2.9,-2.08,43.07,43.07,107
41,Exit short,2025-10-22 02:00,Close Short,2.6115,55.43,143.06483,-1.83,-1.28,0.14,6.18,4.31,-5.79,-4.04,41.23,41.23,46
41,Entry short,2025-10-21 03:00,Short,2.581,55.43,143.06483,-1.83,-1.28,0.14,6.18,4.31,-5.79,-4.04,41.23,41.23,46
42,Exit long,2025-10-22 06:30,Close Long,2.5339,54.2,141.22352,-4.03,-2.85,0.14,0.75,0.53,-4.14,-2.93,37.21,37.21,8
42,Entry long,2025-10-22 02:30,Long,2.6056,54.2,141.22352,-4.03,-2.85,0.14,0.75,0.53,-4.14,-2.93,37.21,37.21,8
43,Exit short,2025-10-24 01:00,Close Short,2.4833,54.47,137.199036,1.8,1.31,0.14,9.79,7.13,-0.44,-0.32,39,39.00,84
43,Entry short,2025-10-22 07:00,Short,2.5188,54.47,137.199036,1.8,1.31,0.14,9.79,7.13,-0.44,-0.32,39,39.00,84
44,Exit long,2025-10-24 08:30,Close Long,2.4089,56.24,139.002784,-3.66,-2.63,0.14,1.72,1.24,-3.85,-2.77,35.34,35.34,14
44,Entry long,2025-10-24 01:30,Long,2.4716,56.24,139.002784,-3.66,-2.63,0.14,1.72,1.24,-3.85,-2.77,35.34,35.34,14
45,Exit short,2025-10-24 15:30,Close Short,2.4752,55.73,135.340305,-2.74,-2.02,0.14,1.75,1.30,-3.42,-2.53,32.6,32.60,13
45,Entry short,2025-10-24 09:00,Short,2.4285,55.73,135.340305,-2.74,-2.02,0.14,1.75,1.30,-3.42,-2.53,32.6,32.60,13
46,Exit long,2025-10-27 23:00,Close Long,2.5948,53.9,132.594,7.13,5.37,0.14,13.81,10.41,-1.1,-0.83,39.73,39.73,158
46,Entry long,2025-10-24 16:00,Long,2.46,53.9,132.594,7.13,5.37,0.14,13.81,10.41,-1.1,-0.83,39.73,39.73,158
47,Exit short,2025-11-01 15:30,Close Short,2.3837,53.35,139.72365,12.42,8.88,0.13,21.96,15.71,-3.53,-2.52,52.15,52.15,224
47,Entry short,2025-10-27 23:30,Short,2.619,53.35,139.72365,12.42,8.88,0.13,21.96,15.71,-3.53,-2.52,52.15,52.15,224
48,Exit long,2025-11-02 19:30,Close Long,2.3612,63.94,152.138836,-1.32,-0.86,0.15,1.39,0.92,-3.09,-2.03,50.84,50.84,55
48,Entry long,2025-11-01 16:00,Long,2.3794,63.94,152.138836,-1.32,-0.86,0.15,1.39,0.92,-3.09,-2.03,50.84,50.84,55
49,Exit short,2025-11-05 22:30,Close Short,2.0402,64.4,150.81836,19.29,12.78,0.14,33.51,22.21,-1.37,-0.91,70.12,70.12,145
49,Entry short,2025-11-02 22:00,Short,2.3419,64.4,150.81836,19.29,12.78,0.14,33.51,22.21,-1.37,-0.91,70.12,70.12,145
50,Exit long,2025-11-06 17:30,Close Long,1.9836,83.77,170.111739,-4.11,-2.42,0.17,2.2,1.29,-4.27,-2.51,66.01,66.01,37
50,Entry long,2025-11-05 23:00,Long,2.0307,83.77,170.111739,-4.11,-2.42,0.17,2.2,1.29,-4.27,-2.51,66.01,66.01,37
51,Exit short,2025-11-08 02:00,Close Short,2.1357,83.51,166.001178,-12.52,-7.54,0.17,7.14,4.30,-13.53,-8.15,53.49,53.49,64
51,Entry short,2025-11-06 18:00,Short,1.9878,83.51,166.001178,-12.52,-7.54,0.17,7.14,4.30,-13.53,-8.15,53.49,53.49,64
52,Exit long,2025-11-09 01:00,Close Long,2.0811,70.54,153.466824,-6.82,-4.44,0.15,1.6,1.04,-8.27,-5.39,46.67,46.67,45
52,Entry long,2025-11-08 02:30,Long,2.1756,70.54,153.466824,-6.82,-4.44,0.15,1.6,1.04,-8.27,-5.39,46.67,46.67,45
53,Exit short,2025-11-10 06:00,Close Short,2.1562,70.19,146.662005,-4.83,-3.29,0.15,2.91,1.98,-5.51,-3.75,41.84,41.84,57
53,Entry short,2025-11-09 01:30,Short,2.0895,70.19,146.662005,-4.83,-3.29,0.15,2.91,1.98,-5.51,-3.75,41.84,41.84,57
54,Exit long,2025-11-11 15:00,Close Long,2.1144,66.22,141.823374,-1.95,-1.37,0.14,5.76,4.06,-3.43,-2.42,39.89,39.89,65
54,Entry long,2025-11-10 06:30,Long,2.1417,66.22,141.823374,-1.95,-1.37,0.14,5.76,4.06,-3.43,-2.42,39.89,39.89,65
55,Exit short,2025-11-19 02:30,Close Short,1.6866,66.44,139.869488,27.69,19.78,0.13,34.97,24.99,-0.29,-0.21,67.58,67.58,358
55,Entry short,2025-11-11 15:30,Short,2.1052,66.44,139.869488,27.69,19.78,0.13,34.97,24.99,-0.29,-0.21,67.58,67.58,358
56,Exit long,2025-11-19 14:30,Close Long,1.6294,99.39,167.57154,-5.79,-3.45,0.16,1.18,0.70,-7.8,-4.65,61.79,61.79,23
56,Entry long,2025-11-19 03:00,Long,1.686,99.39,167.57154,-5.79,-3.45,0.16,1.18,0.70,-7.8,-4.65,61.79,61.79,23
57,Exit short,2025-11-20 21:00,Close Short,1.6485,98.93,161.780229,-1.47,-0.91,0.16,12.49,7.72,-2.95,-1.82,60.32,60.32,60
57,Entry short,2025-11-19 15:00,Short,1.6353,98.93,161.780229,-1.47,-0.91,0.16,12.49,7.72,-2.95,-1.82,60.32,60.32,60
58,Exit long,2025-11-21 01:00,Close Long,1.5187,97.72,160.299888,-12.05,-7.51,0.15,1.86,1.16,-12.78,-7.97,48.27,48.27,7
58,Entry long,2025-11-20 21:30,Long,1.6404,97.72,160.299888,-12.05,-7.51,0.15,1.86,1.16,-12.78,-7.97,48.27,48.27,7
59,Exit short,2025-11-23 12:30,Close Short,1.3966,98.93,148.246605,9.94,6.70,0.14,18.52,12.49,-5.15,-3.47,58.21,58.21,118
59,Entry short,2025-11-21 01:30,Short,1.4985,98.93,148.246605,9.94,6.70,0.14,18.52,12.49,-5.15,-3.47,58.21,58.21,118
60,Exit long,2025-11-26 19:30,Close Long,1.5041,113.51,158.187536,12.38,7.82,0.16,25.29,15.98,-6.07,-3.84,70.59,70.59,157
60,Entry long,2025-11-23 13:00,Long,1.3936,113.51,158.187536,12.38,7.82,0.16,25.29,15.98,-6.07,-3.84,70.59,70.59,157
61,Exit short,2025-11-27 05:00,Close Short,1.5429,113.66,170.580928,-4.96,-2.91,0.17,3.6,2.11,-6.23,-3.65,65.63,65.63,18
61,Entry short,2025-11-26 20:00,Short,1.5008,113.66,170.580928,-4.96,-2.91,0.17,3.6,2.11,-6.23,-3.65,65.63,65.63,18
62,Exit long,2025-11-28 11:00,Close Long,1.5307,106.69,165.604218,-2.46,-1.48,0.16,3.3,1.99,-4.4,-2.66,63.17,63.17,59
62,Entry long,2025-11-27 05:30,Long,1.5522,106.69,165.604218,-2.46,-1.48,0.16,3.3,1.99,-4.4,-2.66,63.17,63.17,59
63,Exit short,2025-11-28 23:30,Close Short,1.5938,106.43,163.167833,-6.63,-4.06,0.17,2.37,1.45,-6.84,-4.19,56.54,56.54,24
63,Entry short,2025-11-28 11:30,Short,1.5331,106.43,163.167833,-6.63,-4.06,0.17,2.37,1.45,-6.84,-4.19,56.54,56.54,24
64,Exit long,2025-11-29 02:30,Close Long,1.5162,98.9,156.51914,-6.72,-4.29,0.15,0,0.00,-8,-5.11,49.82,49.82,5
64,Entry long,2025-11-29 00:00,Long,1.5826,98.9,156.51914,-6.72,-4.29,0.15,0,0.00,-8,-5.11,49.82,49.82,5
65,Exit short,2025-11-30 18:30,Close Short,1.5419,98.69,149.821289,-2.5,-1.67,0.15,3.27,2.18,-3.03,-2.02,47.32,47.32,79
65,Entry short,2025-11-29 03:00,Short,1.5181,98.69,149.821289,-2.5,-1.67,0.15,3.27,2.18,-3.03,-2.02,47.32,47.32,79
66,Exit long,2025-12-01 07:30,End Close,1.4958,96.63,147.331761,-2.94,-1.99,0.15,4.23,2.87,-3.12,-2.11,44.39,44.39,25
66,Entry long,2025-11-30 19:00,Long,1.5247,96.63,147.331761,-2.94,-1.99,0.15,4.23,2.87,-3.12,-2.11,44.39,44.39,25
