trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
33,short,2025-10-14T09:30:00Z,2025-10-14T18:30:00Z,2.7412,2.8487,39.75,108.9627,-4.38,-4.02,3.57,3.27,-5.25,-4.82,4.6,4.60,18,Short,Close Short
34,long,2025-10-14T19:00:00Z,2025-10-15T18:00:00Z,2.843,2.715,36.79,104.59397,-4.81,-4.60,1.67,1.60,-6.04,-5.77,-0.21,-0.21,46,Long,Close Long
35,short,2025-10-15T18:30:00Z,2025-10-18T19:30:00Z,2.7114,2.5028,36.8,99.77952,7.58,7.59,15.86,15.88,-1.12,-1.12,7.37,7.37,146,Short,Close Short
36,long,2025-10-18T20:00:00Z,2025-10-21T04:30:00Z,2.4955,2.5042,43.02,107.35641,0.27,0.25,7.8,7.26,-2.42,-2.26,7.64,7.64,113,Long,Close Long
37,short,2025-10-21T05:00:00Z,2025-10-21T17:00:00Z,2.4799,2.6219,43.4,107.62766,-6.27,-5.83,0.45,0.42,-8.92,-8.28,1.37,1.37,24,Short,Close Short
38,long,2025-10-21T17:30:00Z,2025-10-22T01:30:00Z,2.6137,2.4827,38.78,101.359286,-5.18,-5.11,0.51,0.50,-5.88,-5.80,-3.81,-3.81,16,Long,Close Long
39,short,2025-10-22T02:00:00Z,2025-10-23T17:30:00Z,2.4864,2.4716,38.68,96.173952,0.48,0.50,5.7,5.92,-0.4,-0.41,-3.34,-3.34,79,Short,Close Short
40,long,2025-10-23T18:00:00Z,2025-10-28T06:00:00Z,2.4922,2.5664,38.78,96.647516,2.78,2.87,8.68,8.98,-3.79,-3.92,-0.56,-0.56,216,Long,Close Long
41,short,2025-10-28T06:30:00Z,2025-10-29T22:00:00Z,2.5828,2.5711,38.5,99.4378,0.35,0.35,6.27,6.30,-2.86,-2.87,-0.2,-0.20,79,Short,Close Short
42,long,2025-10-29T22:30:00Z,2025-10-30T06:30:00Z,2.5588,2.4762,39,99.7932,-3.32,-3.32,0,0.00,-6.15,-6.16,-3.52,-3.52,16,Long,Close Long
43,short,2025-10-30T07:00:00Z,2025-10-31T12:00:00Z,2.484,2.3718,38.84,96.47856,4.26,4.42,10.75,11.14,-1.5,-1.56,0.74,0.74,58,Short,Close Short
44,long,2025-10-31T12:30:00Z,2025-11-02T19:30:00Z,2.3814,2.2946,42.3,100.73322,-3.77,-3.74,0.84,0.83,-4.25,-4.22,-3.03,-3.03,110,Long,Close Long
45,short,2025-11-02T20:00:00Z,2025-11-07T16:30:00Z,2.3061,2.0929,42.05,96.971505,8.87,9.15,20.38,21.00,-2.4,-2.47,5.84,5.84,233,Short,Emergency SL
46,long,2025-11-07T18:00:00Z,2025-11-08T16:30:00Z,2.1357,2.079,49.55,105.823935,-2.91,-2.75,3.1,2.93,-3.83,-3.62,2.93,2.93,45,Long,Close Long
47,short,2025-11-08T17:00:00Z,2025-11-09T21:30:00Z,2.0811,2.1542,49.45,102.910395,-3.72,-3.61,1.63,1.59,-4.29,-4.17,-0.79,-0.79,57,Short,Close Short
48,long,2025-11-09T22:00:00Z,2025-11-11T08:30:00Z,2.1562,2.089,46.01,99.206762,-3.19,-3.21,3.34,3.36,-3.53,-3.56,-3.98,-3.98,69,Long,Close Long
49,short,2025-11-11T09:00:00Z,2025-11-20T13:00:00Z,2.0885,1.6485,45.97,96.008345,20.14,20.97,26.63,27.72,-0.97,-1.01,16.16,16.16,440,Short,Close Short
50,long,2025-11-20T13:30:00Z,2025-11-20T18:30:00Z,1.6404,1.5007,70.8,116.14032,-10,-8.61,1.35,1.16,-10.61,-9.13,6.16,6.16,10,Long,Close Long
51,short,2025-11-20T19:00:00Z,2025-11-24T07:30:00Z,1.4942,1.3885,71.05,106.16291,7.41,6.97,13,12.24,-4,-3.77,13.56,13.56,169,Short,Close Short
52,long,2025-11-24T08:00:00Z,2025-11-25T20:00:00Z,1.3933,1.4823,81.5,113.55395,7.14,6.28,14.5,12.76,-3.28,-2.88,20.7,20.70,72,Long,Close Long
53,long,2025-11-25T23:30:00Z,2025-11-30T23:30:00Z,1.5815,1.4958,76.32,120.70008,-6.66,-5.51,1.34,1.11,-8.69,-7.20,14.04,14.04,240,Long,End Close
