trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
13,short,2025-08-25T08:00:00Z,2025-09-01T10:30:00Z,3.4972,3.2924,23.16,80.995152,4.66,5.76,8.15,10.05,-0.77,-0.94,-14.34,-14.34,341,Short,Close Short
14,long,2025-09-01T11:00:00Z,2025-09-04T18:30:00Z,3.281,3.2429,26.1,85.6341,-1.08,-1.26,3.21,3.75,-4.61,-5.38,-15.42,-15.42,159,Long,Close Long
15,short,2025-09-04T19:00:00Z,2025-09-05T07:30:00Z,3.2456,3.3864,26.05,84.54788,-3.75,-4.44,0.17,0.20,-3.86,-4.56,-19.17,-19.17,25,Short,Close Short
16,long,2025-09-05T08:00:00Z,2025-09-09T15:00:00Z,3.3932,3.4635,23.82,80.826024,1.59,1.97,5.25,6.50,-2.01,-2.49,-17.58,-17.58,206,Long,Close Long
17,short,2025-09-09T15:30:00Z,2025-09-10T04:00:00Z,3.4562,3.5408,23.84,82.395808,-2.1,-2.55,0.67,0.81,-2.54,-3.08,-19.68,-19.68,25,Short,Close Short
18,long,2025-09-10T04:30:00Z,2025-09-14T14:00:00Z,3.5196,3.6795,22.82,80.317272,3.57,4.44,8.22,10.23,-0.51,-0.64,-16.11,-16.11,211,Long,Close Long
19,short,2025-09-14T14:30:00Z,2025-09-17T22:00:00Z,3.6847,3.7093,22.77,83.900619,-0.64,-0.77,5.15,6.13,-1.19,-1.41,-16.76,-16.76,159,Short,Close Short
20,long,2025-09-17T22:30:00Z,2025-09-19T15:00:00Z,3.7548,3.6832,22.17,83.243916,-1.67,-2.00,4.81,5.78,-1.94,-2.33,-18.43,-18.43,81,Long,Close Long
21,short,2025-09-19T15:30:00Z,2025-09-24T15:00:00Z,3.6706,3.4184,22.22,81.560732,5.53,6.77,10.05,12.32,-0.87,-1.06,-12.9,-12.90,239,Short,Close Short
22,long,2025-09-24T15:30:00Z,2025-09-25T03:30:00Z,3.4124,3.2924,25.52,87.084448,-3.15,-3.61,0.05,0.05,-3.19,-3.66,-16.05,-16.05,24,Long,Close Long
23,short,2025-09-25T04:00:00Z,2025-09-26T18:00:00Z,3.3096,3.2377,25.36,83.931456,1.74,2.07,6.19,7.37,-0.28,-0.33,-14.31,-14.31,76,Short,Close Short
24,long,2025-09-26T18:30:00Z,2025-09-30T15:30:00Z,3.2451,3.1697,26.4,85.67064,-2.08,-2.42,2.13,2.48,-4.06,-4.74,-16.38,-16.38,186,Long,Close Long
25,short,2025-09-30T16:00:00Z,2025-09-30T22:30:00Z,3.163,3.2713,26.43,83.59809,-2.95,-3.52,0.28,0.34,-3.95,-4.73,-19.33,-19.33,13,Short,Close Short
26,long,2025-09-30T23:00:00Z,2025-10-04T11:00:00Z,3.2541,3.4948,24.79,80.669139,5.88,7.29,10.17,12.60,-1.05,-1.30,-13.45,-13.45,168,Long,Close Long
27,short,2025-10-04T11:30:00Z,2025-10-05T00:30:00Z,3.504,3.6734,24.7,86.5488,-4.27,-4.93,0.14,0.16,-4.61,-5.32,-17.72,-17.72,26,Short,Close Short
28,long,2025-10-05T01:00:00Z,2025-10-07T16:30:00Z,3.5837,3.4717,22.95,82.245915,-2.65,-3.22,2.84,3.46,-2.81,-3.42,-20.37,-20.37,127,Long,Close Long
29,short,2025-10-07T17:00:00Z,2025-10-12T06:00:00Z,3.492,2.5363,22.8,79.6176,21.72,27.27,66.84,83.91,-1.7,-2.13,1.35,1.35,218,Short,Close Short
30,long,2025-10-12T06:30:00Z,2025-10-14T03:30:00Z,2.5555,2.8525,39.65,101.325575,11.67,11.51,18.1,17.86,-3.62,-3.57,13.02,13.02,90,Long,Close Long
31,short,2025-10-14T04:00:00Z,2025-10-14T17:00:00Z,2.8622,2.8212,39.48,112.999656,1.51,1.33,8.32,7.36,-0.44,-0.39,14.52,14.52,26,Short,Close Short
32,long,2025-10-14T17:30:00Z,2025-10-15T15:00:00Z,2.8444,2.7436,40.26,114.515544,-4.17,-3.64,1.77,1.55,-5.25,-4.59,10.35,10.35,43,Long,Close Long
33,short,2025-10-15T15:30:00Z,2025-10-17T14:00:00Z,2.7295,2.4049,40.43,110.353685,13.02,11.79,18.15,16.44,-0.5,-0.45,23.37,23.37,93,Short,Close Short
34,long,2025-10-17T20:30:00Z,2025-10-20T02:00:00Z,2.4412,2.5529,50.54,123.378248,5.52,4.47,10.84,8.79,-1.33,-1.08,28.89,28.89,107,Long,Close Long
35,short,2025-10-20T02:30:00Z,2025-10-20T06:30:00Z,2.5569,2.6556,50.41,128.893329,-5.11,-3.96,0.17,0.13,-5.65,-4.38,23.79,23.79,8,Short,Close Short
36,long,2025-10-20T07:00:00Z,2025-10-20T17:30:00Z,2.6679,2.5562,46.39,123.763881,-5.3,-4.28,0.13,0.11,-5.63,-4.55,18.48,18.48,21,Long,Close Long
37,short,2025-10-20T18:00:00Z,2025-10-21T17:30:00Z,2.5664,2.6137,46.16,118.465024,-2.3,-1.94,4.47,3.77,-5.49,-4.63,16.18,16.18,47,Short,Close Short
38,long,2025-10-21T18:00:00Z,2025-10-22T01:00:00Z,2.6115,2.477,44.48,116.15952,-6.1,-5.25,0.44,0.38,-6.65,-5.72,10.08,10.08,14,Long,Close Long
39,short,2025-10-22T01:30:00Z,2025-10-24T20:00:00Z,2.4827,2.5096,44.34,110.082918,-1.3,-1.18,6.37,5.78,-2.39,-2.17,8.78,8.78,133,Short,Close Short
40,long,2025-10-24T20:30:00Z,2025-10-28T06:00:00Z,2.518,2.5664,43.19,108.75242,1.98,1.82,8.56,7.87,-2.34,-2.15,10.76,10.76,163,Long,Close Long
