Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
30,Exit long,2025-10-14 11:30,Close Long,2.8525,39.65,101.325575,11.67,11.51,0.11,18.1,17.86,-3.62,-3.57,13.02,13.02,90
30,Entry long,2025-10-12 14:30,Long,2.5555,39.65,101.325575,11.67,11.51,0.11,18.1,17.86,-3.62,-3.57,13.02,13.02,90
31,Exit short,2025-10-15 01:00,Close Short,2.8212,39.48,112.999656,1.51,1.33,0.11,8.32,7.36,-0.44,-0.39,14.52,14.52,26
31,Entry short,2025-10-14 12:00,Short,2.8622,39.48,112.999656,1.51,1.33,0.11,8.32,7.36,-0.44,-0.39,14.52,14.52,26
32,Exit long,2025-10-15 23:00,Close Long,2.7436,40.26,114.515544,-4.17,-3.64,0.11,1.77,1.55,-5.25,-4.59,10.35,10.35,43
32,Entry long,2025-10-15 01:30,Long,2.8444,40.26,114.515544,-4.17,-3.64,0.11,1.77,1.55,-5.25,-4.59,10.35,10.35,43
33,Exit short,2025-10-17 22:00,Close Short,2.4049,40.43,110.353685,13.02,11.79,0.1,18.15,16.44,-0.5,-0.45,23.37,23.37,93
33,Entry short,2025-10-15 23:30,Short,2.7295,40.43,110.353685,13.02,11.79,0.1,18.15,16.44,-0.5,-0.45,23.37,23.37,93
34,Exit long,2025-10-20 10:00,Close Long,2.5529,50.54,123.378248,5.52,4.47,0.13,10.84,8.79,-1.33,-1.08,28.89,28.89,107
34,Entry long,2025-10-18 04:30,Long,2.4412,50.54,123.378248,5.52,4.47,0.13,10.84,8.79,-1.33,-1.08,28.89,28.89,107
35,Exit short,2025-10-20 14:30,Close Short,2.6556,50.41,128.893329,-5.11,-3.96,0.13,0.17,0.13,-5.65,-4.38,23.79,23.79,8
35,Entry short,2025-10-20 10:30,Short,2.5569,50.41,128.893329,-5.11,-3.96,0.13,0.17,0.13,-5.65,-4.38,23.79,23.79,8
36,Exit long,2025-10-21 01:30,Close Long,2.5562,46.39,123.763881,-5.3,-4.28,0.12,0.13,0.11,-5.63,-4.55,18.48,18.48,21
36,Entry long,2025-10-20 15:00,Long,2.6679,46.39,123.763881,-5.3,-4.28,0.12,0.13,0.11,-5.63,-4.55,18.48,18.48,21
37,Exit short,2025-10-22 01:30,Close Short,2.6137,46.16,118.465024,-2.3,-1.94,0.12,4.47,3.77,-5.49,-4.63,16.18,16.18,47
37,Entry short,2025-10-21 02:00,Short,2.5664,46.16,118.465024,-2.3,-1.94,0.12,4.47,3.77,-5.49,-4.63,16.18,16.18,47
38,Exit long,2025-10-22 09:00,Close Long,2.477,44.48,116.15952,-6.1,-5.25,0.11,0.44,0.38,-6.65,-5.72,10.08,10.08,14
38,Entry long,2025-10-22 02:00,Long,2.6115,44.48,116.15952,-6.1,-5.25,0.11,0.44,0.38,-6.65,-5.72,10.08,10.08,14
39,Exit short,2025-10-25 04:00,Close Short,2.5096,44.34,110.082918,-1.3,-1.18,0.11,6.37,5.78,-2.39,-2.17,8.78,8.78,133
39,Entry short,2025-10-22 09:30,Short,2.4827,44.34,110.082918,-1.3,-1.18,0.11,6.37,5.78,-2.39,-2.17,8.78,8.78,133
40,Exit long,2025-10-28 14:00,Close Long,2.5664,43.19,108.75242,1.98,1.82,0.11,8.56,7.87,-2.34,-2.15,10.76,10.76,163
40,Entry long,2025-10-25 04:30,Long,2.518,43.19,108.75242,1.98,1.82,0.11,8.56,7.87,-2.34,-2.15,10.76,10.76,163
41,Exit short,2025-10-30 04:00,Close Short,2.5478,42.88,110.750464,1.39,1.26,0.11,6.98,6.30,-3.18,-2.87,12.15,12.15,75
41,Entry short,2025-10-28 14:30,Short,2.5828,42.88,110.750464,1.39,1.26,0.11,6.98,6.30,-3.18,-2.87,12.15,12.15,75
42,Exit long,2025-10-30 09:00,Close Long,2.5137,43.33,112.116375,-3.31,-2.95,0.11,0.09,0.08,-4.63,-4.13,8.84,8.84,9
42,Entry long,2025-10-30 04:30,Long,2.5875,43.33,112.116375,-3.31,-2.95,0.11,0.09,0.08,-4.63,-4.13,8.84,8.84,9
43,Exit short,2025-11-04 19:00,Close Short,2.054,43.61,108.841838,19.17,17.60,0.1,22.7,20.84,-1.97,-1.81,28.01,28.01,259
43,Entry short,2025-10-30 09:30,Short,2.4958,43.61,108.841838,19.17,17.60,0.1,22.7,20.84,-1.97,-1.81,28.01,28.01,259
44,Exit long,2025-11-05 02:30,Close Long,1.9209,62.38,127.991284,-8.29,-6.47,0.12,2.04,1.59,-8.86,-6.92,19.72,19.72,14
44,Entry long,2025-11-04 19:30,Long,2.0518,62.38,127.991284,-8.29,-6.47,0.12,2.04,1.59,-8.86,-6.92,19.72,19.72,14
45,Exit short,2025-11-05 12:30,Close Short,2.007,61.05,119.68242,-2.97,-2.48,0.12,8.49,7.09,-4.57,-3.82,16.76,16.76,19
45,Entry short,2025-11-05 03:00,Short,1.9604,61.05,119.68242,-2.97,-2.48,0.12,8.49,7.09,-4.57,-3.82,16.76,16.76,19
46,Exit long,2025-11-06 10:30,Close Long,2.0131,57.86,116.755694,-0.39,-0.34,0.12,2.88,2.46,-2.04,-1.74,16.36,16.36,43
46,Entry long,2025-11-05 13:00,Long,2.0179,57.86,116.755694,-0.39,-0.34,0.12,2.88,2.46,-2.04,-1.74,16.36,16.36,43
47,Exit short,2025-11-08 01:00,Emergency SL,2.1212,58.42,116.349272,-7.69,-6.61,0.12,5.22,4.48,-7.63,-6.55,8.67,8.67,66
47,Entry short,2025-11-06 16:00,Short,1.9916,58.42,116.349272,-7.69,-6.61,0.12,5.22,4.48,-7.63,-6.55,8.67,8.67,66
48,Exit long,2025-11-08 22:30,Close Long,2.0779,50.78,108.659044,-3.25,-2.99,0.11,2.97,2.73,-3.84,-3.53,5.42,5.42,42
48,Entry long,2025-11-08 01:30,Long,2.1398,50.78,108.659044,-3.25,-2.99,0.11,2.97,2.73,-3.84,-3.53,5.42,5.42,42
49,Exit short,2025-11-10 05:30,Close Short,2.1542,50.45,105.405185,-3.38,-3.21,0.11,2.08,1.97,-3.97,-3.76,2.04,2.04,61
49,Entry short,2025-11-08 23:00,Short,2.0893,50.45,105.405185,-3.38,-3.21,0.11,2.08,1.97,-3.97,-3.76,2.04,2.04,61
50,Exit long,2025-11-11 15:30,Close Long,2.1052,47.32,102.031384,-2.51,-2.46,0.1,3.43,3.36,-3.14,-3.07,-0.48,-0.48,67
50,Entry long,2025-11-10 06:00,Long,2.1562,47.32,102.031384,-2.51,-2.46,0.1,3.43,3.36,-3.14,-3.07,-0.48,-0.48,67
51,Exit short,2025-11-13 14:30,Close Short,2.0355,47.78,99.520962,2.17,2.18,0.1,6.39,6.42,-1.27,-1.28,1.69,1.69,93
51,Entry short,2025-11-11 16:00,Short,2.0829,47.78,99.520962,2.17,2.18,0.1,6.39,6.42,-1.27,-1.28,1.69,1.69,93
52,Exit long,2025-11-14 02:30,Close Long,1.8721,50.13,101.678679,-7.93,-7.79,0.1,1.18,1.16,-8.27,-8.13,-6.24,-6.24,23
52,Entry long,2025-11-13 15:00,Long,2.0283,50.13,101.678679,-7.93,-7.79,0.1,1.18,1.16,-8.27,-8.13,-6.24,-6.24,23
53,Exit short,2025-11-19 02:00,Close Short,1.6795,50.2,93.75352,9.35,9.97,0.09,14.5,15.46,-1.14,-1.21,3.12,3.12,238
53,Entry short,2025-11-14 03:00,Short,1.8676,50.2,93.75352,9.35,9.97,0.09,14.5,15.46,-1.14,-1.21,3.12,3.12,238
54,Exit long,2025-11-19 14:00,Close Long,1.6222,61.13,103.101858,-4.04,-3.91,0.1,0.69,0.67,-4.83,-4.68,-0.92,-0.92,23
54,Entry long,2025-11-19 02:30,Long,1.6866,61.13,103.101858,-4.04,-3.91,0.1,0.69,0.67,-4.83,-4.68,-0.92,-0.92,23
55,Exit short,2025-11-23 10:00,Close Short,1.3752,60.8,99.06752,15.36,15.50,0.09,19.34,19.51,-2.17,-2.19,14.44,14.44,183
55,Entry short,2025-11-19 14:30,Short,1.6294,60.8,99.06752,15.36,15.50,0.09,19.34,19.51,-2.17,-2.19,14.44,14.44,183
